,Title,IMSDB-Genres,Writers,Movie-Title,IMDB-ID,Filename,BOM-url,Distributor,OW-Revenue,OW-Opens,Release-Date,Days-in-Release,MPAA,Runtime,Genres,Widest-Release,Domestic-Total,WorldWide-Total,Budget
1077,Twilight,"['Drama', 'Fantasy', 'Romance', 'Thriller']",['Melissa Rosenberg'],Twilight,1099212,./data/IMSDB/texts/Twilight.txt,https://www.boxofficemojo.com/release/rl58099201,Summit Entertainment,"69,637,740","3,419",21-Nov-08,413 days,PG-13,122,"['Drama', 'Fantasy', 'Romance']","3,649","192,769,854","407,187,715","37,000,000"
1078,Twilight: New Moon,"['Drama', 'Fantasy', 'Horror', 'Romance', 'Thriller']","['Melissa Rosenberg', 'Stephenie Meyer']",Twilight:_New_Moon,1259571,./data/IMSDB/texts/Twilight:_New_Moon.txt,https://www.boxofficemojo.com/release/rl3479471617,Summit Entertainment,"142,839,137","4,024",20-Nov-09,407 days,PG-13,130,"['Drama', 'Fantasy', 'Romance']","4,124","296,623,634","709,827,462","50,000,000"
1079,Twin Peaks,"['Drama', 'Horror', 'Thriller', 'Mystery']","['Mark Frost', 'David Lynch', 'Robert Engels']",Twin_Peaks,98936,./data/IMSDB/texts/Twin_Peaks.txt,,,,,,,,,,,,,"10,000,000"
1080,Twins,"['Action', 'Comedy', 'Sci-Fi']","['William Osborne', 'William Davies', 'Timothy Harris', 'Hershel Weingrod', 'William Goldman']",Twins,94964,./data/IMSDB/texts/Twins.txt,https://www.boxofficemojo.com/release/rl2655815169,Twentieth Century Fox,"3,012,180","1,042",23-Sep-88,100 days,,116,"['Drama', 'Horror', 'Thriller']","1,048","8,038,508","8,038,508","15,000,000"
1081,Two For The Money,"['Comedy', 'Drama', 'Sport', 'Thriller']",['Dan Gilroy'],Two_For_The_Money,417217,./data/IMSDB/texts/Two_For_The_Money.txt,https://www.boxofficemojo.com/release/rl1685489153,Universal Pictures,"8,703,240","2,391",7-Oct-05,91 days,R,122,"['Crime', 'Drama', 'Sport']","2,397","22,991,379","30,526,509","35,000,000"
1082,U Turn,"['Drama', 'Thriller']","['John Ridley', 'Richard Rutowski', 'Oliver Stone']",U_Turn,120399,./data/IMSDB/texts/U_Turn.txt,https://www.boxofficemojo.com/release/rl746161665,Sony Pictures Entertainment (SPE),"2,730,440","1,230",3-Oct-97,90 days,R,125,"['Crime', 'Drama', 'Thriller']","1,311","6,682,098","6,682,098","330,000"
1083,"Ugly Truth, The","['Comedy', 'Romance']","['Nicole Eastman', 'Tracey Jackson', 'Peter Hume', 'David Diamond', 'David Weissman', 'Roger Kumble']",Ugly_Truth,1142988,./data/IMSDB/texts/Ugly_Truth.txt,https://www.boxofficemojo.com/release/rl1299613185,Sony Pictures Entertainment (SPE),"27,605,576","2,882",24-Jul-09,161 days,R,96,"['Comedy', 'Romance']","2,975","88,915,214","205,298,907","38,000,000"
1085,Unbreakable,"['Drama', 'Fantasy', 'Thriller']",['M. Night Shyamalan'],Unbreakable,217869,./data/IMSDB/texts/Unbreakable.txt,https://www.boxofficemojo.com/release/rl3195438593,Walt Disney Studios Motion Pictures,"30,330,771","2,708",22-Nov-00,405 days,PG-13,106,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']","2,708","95,011,339","248,118,121","75,000,000"
1086,Under Fire,['Drama'],"['Clayton Frohman', 'Ron Shelton']",Under_Fire,86510,./data/IMSDB/texts/Under_Fire.txt,https://www.boxofficemojo.com/release/rl2641790465,Orion Pictures,"1,837,768",816,21-Oct-83,77 days,,128,"['Drama', 'War']",816,"5,696,391","5,696,391","8,000,000"
1087,Unknown,"['Drama', 'Mystery', 'Thriller']","['Oliver Butcher', 'Stephen Cornwell']",Unknown,1401152,./data/IMSDB/texts/Unknown.txt,https://www.boxofficemojo.com/release/rl3631646209,Warner Bros.,"21,856,389","3,043",18-Feb-11,317 days,PG-13,113,"['Action', 'Thriller']","3,043","63,686,397","135,710,029","30,000,000"
1088,Up,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']","['Pete Docter', 'Bob Peterson', 'Thomas McCarthy']",Up,1049413,./data/IMSDB/texts/Up.txt,https://www.boxofficemojo.com/release/rl3245770241,Walt Disney Studios Motion Pictures,"68,108,790","3,766",29-May-09,217 days,PG,96,"['Adventure', 'Animation', 'Comedy', 'Family']","3,886","293,004,164","735,099,082","175,000,000"
1089,Up in the Air,"['Drama', 'Romance']","['Jason Reitman', 'Sheldon Turner']",Up_in_the_Air,1193138,./data/IMSDB/texts/Up_in_the_Air.txt,https://www.boxofficemojo.com/release/rl3346433537,Paramount Pictures,"1,181,450",15,"(Wide)Dec 4, 2009",393 days,R,109,"['Comedy', 'Drama', 'Romance']","2,218","83,823,381","166,842,739","25,000,000"
1090,"Usual Suspects, The","['Crime', 'Mystery', 'Thriller']",['Christopher McQuarrie'],Usual_Suspects,114814,./data/IMSDB/texts/Usual_Suspects.txt,https://www.boxofficemojo.com/release/rl695830017,Gramercy Pictures (I),"645,363",42,"(Wide)Aug 18, 1995",140 days,R,106,"['Crime', 'Mystery', 'Thriller']",876,"23,341,568","23,341,568","6,000,000"
1091,V for Vendetta,"['Action', 'Drama', 'Sci-Fi', 'Thriller']","['Andy Wachowski', 'Larry Wachowski']",V_for_Vendetta,434409,./data/IMSDB/texts/V_for_Vendetta.txt,https://www.boxofficemojo.com/release/rl1601799681,Warner Bros.,"25,642,340","3,365",17-Mar-06,290 days,R,132,"['Action', 'Drama', 'Sci-Fi', 'Thriller']","3,365","70,511,035","132,511,035","54,000,000"
1092,Valkyrie,"['Drama', 'Thriller', 'War']","['Christopher McQuarrie', 'Nathan Alexander']",Valkyrie,985699,./data/IMSDB/texts/Valkyrie.txt,https://www.boxofficemojo.com/release/rl460948993,United Artists,"21,027,007","2,711",25-Dec-08,372 days,PG-13,121,"['Drama', 'History', 'Thriller', 'War']","2,838","83,077,833","201,545,517","75,000,000"
1093,Vanilla Sky,"['Mystery', 'Romance', 'Sci-Fi', 'Thriller']",['Cameron Crowe'],Vanilla_Sky,259711,./data/IMSDB/texts/Vanilla_Sky.txt,https://www.boxofficemojo.com/release/rl209290753,Paramount Pictures,"25,015,518","2,742",14-Dec-01,383 days,R,136,"['Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']","2,842","100,618,344","203,388,341","68,000,000"
1094,"Verdict, The",['Drama'],"['Barry Reed', 'David Mamet']",Verdict,84855,./data/IMSDB/texts/Verdict.txt,https://www.boxofficemojo.com/release/rl1870235137,Twentieth Century Fox,"100,982",3,"(Wide)Dec 10, 1982",387 days,,129,['Drama'],904,"53,977,250","53,977,250","16,000,000"
1095,Very Bad Things,"['Comedy', 'Thriller']",['Peter Berg'],Very_Bad_Things,124198,./data/IMSDB/texts/Very_Bad_Things.txt,https://www.boxofficemojo.com/release/rl1501136385,PolyGram,"3,245,853","1,260",27-Nov-98,400 days,R,100,"['Comedy', 'Crime', 'Thriller']","1,260","9,898,412","9,898,412","30,000,000"
1096,"Village, The","['Drama', 'Mystery', 'Thriller']",['M. Night Shyamalan'],Village,368447,./data/IMSDB/texts/Village.txt,https://www.boxofficemojo.com/release/rl1132037633,Walt Disney Studios Motion Pictures,"50,746,142","3,730",30-Jul-04,161 days,PG-13,108,"['Drama', 'Mystery', 'Thriller']","3,733","114,197,520","256,697,520","60,000,000"
1097,Virtuosity,"['Action', 'Sci-Fi', 'Thriller']",['Eric Bernt'],Virtuosity,114857,./data/IMSDB/texts/Virtuosity.txt,https://www.boxofficemojo.com/release/rl3078194689,Paramount Pictures,"8,309,869","2,012",4-Aug-95,150 days,R,106,"['Action', 'Crime', 'Sci-Fi', 'Thriller']","2,012","24,047,675","24,047,675","30,000,000"
1098,"Visitor, The","['Crime', 'Drama', 'Romance']",['Thomas McCarthy'],Visitor,857191,./data/IMSDB/texts/Visitor.txt,https://www.boxofficemojo.com/release/rl2927199745,Overture Films,"86,488",4,11-Apr-08,265 days,PG-13,104,['Drama'],270,"9,427,089","18,197,518","4,000,000"
1099,Wag the Dog,['Comedy'],['David Mamet'],Wag_the_Dog,120885,./data/IMSDB/texts/Wag_the_Dog.txt,https://www.boxofficemojo.com/release/rl2172225025,New Line Cinema,"92,079",3,"(Wide)Dec 25, 1997",372 days,R,97,"['Comedy', 'Drama']","1,752","43,061,945","64,256,513","15,000,000"
1100,"Walk to Remember, A","['Drama', 'Romance']",['Karen Janszen'],Walk_to_Remember,281358,./data/IMSDB/texts/Walk_to_Remember.txt,https://www.boxofficemojo.com/release/rl457541121,Warner Bros.,"12,177,488","2,411",25-Jan-02,341 days,PG,101,"['Drama', 'Romance']","2,420","41,281,092","47,494,916","11,800,000"
1101,Walking Tall,"['Action', 'Drama', 'Thriller']","['Mort Briskin', 'David Klass']",Walking_Tall,351977,./data/IMSDB/texts/Walking_Tall.txt,https://www.boxofficemojo.com/release/rl3682174465,Metro-Goldwyn-Mayer (MGM),"15,501,114","2,836",2-Apr-04,274 days,PG-13,86,"['Action', 'Crime']","2,836","46,437,717","57,223,890","46,000,000"
1102,Wall Street,"['Crime', 'Drama']","['Stanley Weiser', 'Oliver Stone']",Wall_Street,94291,./data/IMSDB/texts/Wall_Street.txt,https://www.boxofficemojo.com/release/rl3380184577,Twentieth Century Fox,"4,104,611",730,11-Dec-87,387 days,,126,"['Crime', 'Drama']",989,"43,848,069","43,848,069","16,500,000"
1103,Wall Street: Money Never Sleeps,['Drama'],['Allan Loeb'],Wall_Street:_Money_Never_Sleeps,1027718,./data/IMSDB/texts/Wall_Street:_Money_Never_Sleeps.txt,https://www.boxofficemojo.com/release/rl3363407361,Twentieth Century Fox,"19,011,188","3,565",24-Sep-10,105 days,PG-13,133,['Drama'],"3,597","52,474,616","134,748,021","70,000,000"
1104,Wall-E,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Romance', 'Sci-Fi']","['Andrew Stanton', 'Pete Docter']",Wall-E,910970,./data/IMSDB/texts/Wall-E.txt,https://www.boxofficemojo.com/release/rl3615065601,Walt Disney Studios Motion Pictures,"63,087,526","3,992",27-Jun-08,553 days,,98,"['Adventure', 'Animation', 'Family', 'Sci-Fi']","3,992","223,808,164","521,311,860","180,000,000"
1105,Wanted,"['Action', 'Crime', 'Thriller']","['Michael Brandt', 'Derek Haas']",Wanted,493464,./data/IMSDB/texts/Wanted.txt,https://www.boxofficemojo.com/release/rl3329852929,Universal Pictures,"50,927,085","3,175",27-Jun-08,188 days,R,110,"['Action', 'Crime', 'Thriller']","3,185","134,508,551","342,463,063","75,000,000"
